100000000		1.373e-06
110000000		1.221e-06
120000000		1.917e-06
130000000		1.334e-06
140000000		1.476e-06
150000000		1.525e-06
160000000		1.414e-06
170000000		1.7e-06
180000000		1.395e-06
190000000		1.631e-06
200000000		1.281e-06
210000000		1.143e-06
220000000		1.172e-06
230000000		1.514e-06
240000000		1.194e-06
250000000		1.326e-06
260000000		1.612e-06
270000000		1.934e-06
280000000		1.715e-06
290000000		1.414e-06
300000000		1.307e-06
310000000		1.349e-06
320000000		1.495e-06
330000000		1.422e-06
340000000		1.317e-06
