100000000		1.31e-06
110000000		1.329e-06
120000000		1.566e-06
130000000		1.399e-06
140000000		1.465e-06
150000000		1.496e-06
160000000		1.552e-06
170000000		1.51e-06
180000000		1.549e-06
190000000		1.733e-06
200000000		1.67e-06
210000000		1.41e-06
220000000		1.625e-06
230000000		1.485e-06
240000000		1.99e-06
250000000		1.882e-06
260000000		1.731e-06
270000000		1.768e-06
280000000		1.533e-06
290000000		1.635e-06
300000000		1.57e-06
310000000		1.635e-06
320000000		1.48e-06
330000000		1.556e-06
340000000		1.491e-06
