50000000		1.02815e-07
70000000		9.9185e-08
90000000		1.87658e-07
110000000		9.7568e-08
130000000		1.11688e-07
150000000		1.09648e-07
170000000		9.5796e-08
190000000		1.1167e-07
210000000		1.08572e-07
230000000		9.6589e-08
250000000		1.10112e-07
270000000		1.08413e-07
290000000		1.12937e-07
310000000		1.11755e-07
330000000		1.07642e-07
350000000		1.07934e-07
370000000		1.04718e-07
390000000		1.04261e-07
410000000		1.7052e-07
430000000		1.20473e-07
450000000		1.21743e-07
470000000		1.24807e-07
490000000		1.45116e-07
510000000		1.09658e-07
530000000		1.19847e-07
